areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam10,exam11,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,88.9, , ,17.8,3.7,1.9,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,1,3,R32006,일미벼,1,76
나주,나주(전라남도 농업기술원),001,00122017001869,88.9, , ,17.2,3.7,2.1,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,2,3,R32011,남평벼,1,76
나주,나주(전라남도 농업기술원),001,00122017001866,87, , ,12.8,3.7,2.03,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,3,3,R32081,미품,1,76
나주,나주(전라남도 농업기술원),001,00122017001867,91.3, , ,18.1,3.6,2.2,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,4,3,R32084,새누리,1,76
나주,나주(전라남도 농업기술원),001,00122017001868,88.2, , ,17.5,4.1,2,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,5,3,R32090,호평,1,76
나주,나주(전라남도 농업기술원),001,00122017001865,91, , ,12.5,4,2.04,2017-05-10,130,2017-06-05,,,1,1,0352,002,2017,2017-05-10,6,3,R32092,현품,1,76
대구,대구(경상북도 농업기술원),001,00122017001875,82.3, , ,14.1,3.4,2.7,2017-04-30,130,2017-05-30,,,1,1,0340,002,2017,2017-04-30,7,4,R22009,화영벼,1,76
대구,대구(경상북도 농업기술원),001,00122017001873,85.9, , ,14.4,3.6,2.3,2017-04-30,130,2017-05-30,,,1,1,0340,002,2017,2017-04-30,8,4,R22083,삼덕,1,76
대구,대구(경상북도 농업기술원),001,00122017001874,84.6, , ,12.1,3.4,2.6,2017-04-30,130,2017-05-30,,,1,1,0340,002,2017,2017-04-30,9,4,R32001,일품벼,1,76
대구,대구(경상북도 농업기술원),001,00122017001872,77.9, , ,15.6,4,3.2,2017-04-30,130,2017-05-30,,,1,1,0340,002,2017,2017-04-30,10,4,R32015,새추청,1,76
대구,대구(경상북도 농업기술원),001,00122017001871,83.6, , ,15.2,3.8,2.9,2017-04-30,130,2017-05-30,,,1,1,0340,002,2017,2017-04-30,11,4,R32093,새일미,1,76
진주,진주(경상남도 농업기술원),001,00122017001885,95, , ,17.5,3.4,1.7,2017-05-10,130,2017-06-05,,,1,1,0335,002,2017,2017-05-10,12,6,R22009,화영벼,1,76
진주,진주(경상남도 농업기술원),001,00122017001883,98.8, , ,16,3.6,1.6,2017-05-10,130,2017-06-05,,,1,1,0335,002,2017,2017-05-10,13,6,R32008,동안벼,1,76
진주,진주(경상남도 농업기술원),001,00122017001881,96.8, , ,15.8,3.2,1.6,2017-05-10,130,2017-06-05,,,1,1,0335,002,2017,2017-05-10,14,6,R32068,동진1호,1,76
진주,진주(경상남도 농업기술원),001,00122017001882,88.4, , ,13,3.1,1.7,2017-05-10,130,2017-06-05,,,1,1,0335,002,2017,2017-05-10,15,6,R32069,주남,1,76
진주,진주(경상남도 농업기술원),001,00122017001884,91.5, , ,15.6,3.5,1.8,2017-05-10,130,2017-06-05,,,1,1,0335,002,2017,2017-05-10,16,6,R32093,새일미,1,76
계화,계화(국립식량과학원),001,00122017001822,63.3, , ,11.9,3.9,1.8,2017-04-30,200,2017-05-30,,,1,1,0343,002,2017,2017-04-30,17,8,R11073,새계화,1,76
철원,철원(국립식량과학원),001,00122017001818,72.3,,0,19.5,5.2,2.7,2017-04-20,120,2017-05-20,,,1,1,0331,002,2017,2017-04-20,18,8,R12004,진부벼,1,76
운봉,운봉(국립식량과학원),001,00122017001825,82.3, , ,17.1,3.5,1.7,2017-04-20,130,2017-05-20,,,1,1,0330,002,2017,2017-04-20,19,8,R12004,진부벼,1,76
