areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,27.2,5,119,23.8,1,2,0352,002,2017,2017-05-10,1,3,R32006,일미벼,2,76
나주,나주(전라남도 농업기술원),001,00122017001869,25.6,5,119,23.8,1,2,0352,002,2017,2017-05-10,2,3,R32011,남평벼,2,76
나주,나주(전라남도 농업기술원),001,00122017001866,24,5,119,23.8,1,2,0352,002,2017,2017-05-10,3,3,R32081,미품,2,76
나주,나주(전라남도 농업기술원),001,00122017001867,24,5,119,23.8,1,2,0352,002,2017,2017-05-10,4,3,R32084,새누리,2,76
나주,나주(전라남도 농업기술원),001,00122017001868,24.2,5,119,23.8,1,2,0352,002,2017,2017-05-10,5,3,R32090,호평,2,76
나주,나주(전라남도 농업기술원),001,00122017001865,23.4,5,119,23.8,1,2,0352,002,2017,2017-05-10,6,3,R32092,현품,2,76
대구,대구(경상북도 농업기술원),001,00122017001875,24.6,4.5,107.1,23.8,1,2,0340,002,2017,2017-04-30,7,4,R22009,화영벼,2,76
대구,대구(경상북도 농업기술원),001,00122017001873,25.8,5.1,121.4,23.8,1,2,0340,002,2017,2017-04-30,8,4,R22083,삼덕,2,76
대구,대구(경상북도 농업기술원),001,00122017001874,23.2,5,118.5,23.8,1,2,0340,002,2017,2017-04-30,9,4,R32001,일품벼,2,76
대구,대구(경상북도 농업기술원),001,00122017001872,26.7,5.4,128.5,23.8,1,2,0340,002,2017,2017-04-30,10,4,R32015,새추청,2,76
대구,대구(경상북도 농업기술원),001,00122017001871,26.7,5.2,123.8,23.8,1,2,0340,002,2017,2017-04-30,11,4,R32093,새일미,2,76
진주,진주(경상남도 농업기술원),001,00122017001885,22.1,5.5,130.9,23.8,1,2,0335,002,2017,2017-05-10,12,6,R22009,화영벼,2,76
진주,진주(경상남도 농업기술원),001,00122017001883,21.7,5.6,133.3,23.8,1,2,0335,002,2017,2017-05-10,13,6,R32008,동안벼,2,76
진주,진주(경상남도 농업기술원),001,00122017001881,22.4,5.7,135.7,23.8,1,2,0335,002,2017,2017-05-10,14,6,R32068,동진1호,2,76
진주,진주(경상남도 농업기술원),001,00122017001882,20.9,5.4,128.5,23.8,1,2,0335,002,2017,2017-05-10,15,6,R32069,주남,2,76
진주,진주(경상남도 농업기술원),001,00122017001884,25.6,5.1,121.4,23.8,1,2,0335,002,2017,2017-05-10,16,6,R32093,새일미,2,76
계화,계화(국립식량과학원),001,00122017001822,214.6,6.8,160.7,23.8,1,2,0343,002,2017,2017-04-30,17,8,R11073,새계화,2,76
철원,철원(국립식량과학원),001,00122017001818,33.2,14.6,406.3,27.8,1,2,0331,002,2017,2017-04-20,18,8,R12004,진부벼,2,76
운봉,운봉(국립식량과학원),001,00122017001825,20.6,8.2,196,23.8,1,2,0330,002,2017,2017-04-20,19,8,R12004,진부벼,2,76
진부,진부(국립식량과학원),001,00122017001888,31,10,278,27.8,1,2,0336,002,2017,2017-04-20,20,8,R12004,진부벼,2,76
상주,상주(국립식량과학원),001,00122017001837,28.2,9,249.7,27.8,1,2,0329,002,2017,2017-04-25,21,8,R12005,상주벼,2,76
제천,제천(충청북도 농업기술원),001,00122017001848,29,11.1,308.6,27.8,1,2,0337,002,2017,2017-04-20,22,8,R12005,상주벼,2,76
제천,제천(충청북도 농업기술원),001,00122017001849,27,11.3,314.1,27.8,1,2,0337,002,2017,2017-04-20,23,8,R12016,상미,2,76
운봉,운봉(국립식량과학원),001,00122017001824,21.1,8.9,211.1,23.8,1,2,0330,002,2017,2017-04-20,24,8,R12019,삼천벼,2,76
철원,철원(국립식량과학원),001,00122017001817,32.6,15.6,432.3,27.8,1,2,0331,002,2017,2017-04-20,25,8,R12072,태봉,2,76
철원,철원(국립식량과학원),001,00122017001816,28.7,15.8,437.9,27.8,1,2,0331,002,2017,2017-04-20,26,8,R12079,운광,2,76
운봉,운봉(국립식량과학원),001,00122017001823,22.2,8.1,192.5,23.8,1,2,0330,002,2017,2017-04-20,27,8,R12079,운광,2,76
상주,상주(국립식량과학원),001,00122017001836,25.2,8,221.9,27.8,1,2,0329,002,2017,2017-04-25,28,8,R12079,운광,2,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001841,26,6.5,165.4,25.4,1,2,0333,002,2017,2017-04-25,29,8,R12079,운광,2,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001844,27.3,8.4,212.1,25.3,1,2,0344,002,2017,2017-04-20,30,8,R12079,운광,2,76
제천,제천(충청북도 농업기술원),001,00122017001847,29.3,12,333.6,27.8,1,2,0337,002,2017,2017-04-20,31,8,R12079,운광,2,76
안동,안동(경상북도 농업기술원),001,00122017001879,28.9,10.5,249.1,23.8,1,2,0351,002,2017,2017-04-20,32,8,R12079,운광,2,76
철원,철원(국립식량과학원),001,00122017001815,29.5,17.6,489.7,27.8,1,2,0331,002,2017,2017-04-20,33,8,R12080,조운,2,76
상주,상주(국립식량과학원),001,00122017001835,28,8.1,226.1,27.8,1,2,0329,002,2017,2017-04-25,34,8,R12085,설레미,2,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001843,27.3,8.6,224,26,1,2,0344,002,2017,2017-04-20,35,8,R12086,오대1호,2,76
진부,진부(국립식량과학원),001,00122017001886,29,7.5,208.5,27.8,1,2,0336,002,2017,2017-04-20,36,8,R12092,한설,2,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001845,33.4,9.7,248.7,25.6,1,2,0344,002,2017,2017-04-20,37,8,R12093,오륜,2,76
철원,철원(국립식량과학원),001,00122017001814,3.45,14.3,396.6,27.8,1,2,0331,002,2017,2017-04-20,38,8,R13002,오대벼,2,76
운봉,운봉(국립식량과학원),001,00122017001826,21.6,6.8,160.7,23.8,1,2,0330,002,2017,2017-04-20,39,8,R13002,오대벼,2,76
화성,화성(경기도 경기도농업기술원),001,00122017001830,29.1,8.9,211.9,23.8,1,2,0332,002,2017,2017-04-20,40,8,R13002,오대벼,2,76
상주,상주(국립식량과학원),001,00122017001838,27.2,8.4,232.1,27.8,1,2,0329,002,2017,2017-04-25,41,8,R13002,오대벼,2,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001842,29.1,7.5,198.4,26.5,1,2,0333,002,2017,2017-04-25,42,8,R13002,오대벼,2,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001846,33.6,7.1,182.1,25.6,1,2,0344,002,2017,2017-04-20,43,8,R13002,오대벼,2,76
제천,제천(충청북도 농업기술원),001,00122017001850,27.3,10.7,297.5,27.8,1,2,0337,002,2017,2017-04-20,44,8,R13002,오대벼,2,76
안동,안동(경상북도 농업기술원),001,00122017001880,28.1,9.6,229.3,23.8,1,2,0351,002,2017,2017-04-20,45,8,R13002,오대벼,2,76
진부,진부(국립식량과학원),001,00122017001889,32,8.1,225.2,27.8,1,2,0336,002,2017,2017-04-20,46,8,R13002,오대벼,2,76
진부,진부(국립식량과학원),001,00122017001887,30,11,305.8,27.8,1,2,0336,002,2017,2017-04-20,47,8,R13003,진부올벼,2,76
영덕,영덕(국립식량과학원),001,00122017001833,21.6,10.3,245.1,23.8,1,2,0338,002,2017,2017-04-20,48,8,R22009,화영벼,2,76
영덕,영덕(국립식량과학원),001,00122017001832,19.4,7.7,183.3,23.8,1,2,0338,002,2017,2017-04-20,49,8,R22083,삼덕,2,76
영덕,영덕(국립식량과학원),001,00122017001834,20.2,7.5,178.5,23.8,1,2,0338,002,2017,2017-04-20,50,8,R23004,화성벼,2,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001839,26.9,9.9,253.8,25.6,1,2,0333,002,2017,2017-04-25,51,8,R32001,일품벼,2,76
청원,청원(충청북도 농업기술원),001,00122017001852,25,12.3,292.7,23.8,1,2,2325,002,2017,2017-04-25,52,8,R32001,일품벼,2,76
안동,안동(경상북도 농업기술원),001,00122017001877,24.2,10.3,245.1,23.8,1,2,0351,002,2017,2017-04-20,53,8,R32001,일품벼,2,76
화성,화성(경기도 경기도농업기술원),001,00122017001829,24.5,9.6,228.6,23.8,1,2,0332,002,2017,2017-04-20,54,8,R32003,대안벼,2,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001840,25.6,9.4,256.8,27.3,1,2,0333,002,2017,2017-04-25,55,8,R32003,대안벼,2,76
청원,청원(충청북도 농업기술원),001,00122017001853,25.1,13.8,328.4,23.8,1,2,2325,002,2017,2017-04-25,56,8,R32003,대안벼,2,76
익산,익산(전북특별자치도 농업기술원),001,00122017001864,22.4,7,166.6,23.8,1,2,0326,002,2017,2017-04-30,57,8,R32006,일미벼,2,76
계화,계화(국립식량과학원),001,00122017001820,21.1,8.9,211.1,23.8,1,2,0343,002,2017,2017-04-30,58,8,R32011,남평벼,2,76
영덕,영덕(국립식량과학원),001,00122017001831,21.5,9.7,230.9,23.8,1,2,0338,002,2017,2017-04-20,59,8,R32011,남평벼,2,76
예산,예산(충청남도 농업기술원),001,00122017001856,26,10.9,259.4,23.8,1,2,0350,002,2017,2017-04-25,60,8,R32011,남평벼,2,76
익산,익산(전북특별자치도 농업기술원),001,00122017001862,21.3,8.8,209.4,23.8,1,2,0326,002,2017,2017-04-30,61,8,R32011,남평벼,2,76
안동,안동(경상북도 농업기술원),001,00122017001878,24.8,13.6,322.5,23.8,1,2,0351,002,2017,2017-04-20,62,8,R32015,새추청,2,76
익산,익산(전북특별자치도 농업기술원),001,00122017001863,24.3,7.5,178.5,23.8,1,2,0326,002,2017,2017-04-30,63,8,R32016,신동진,2,76
계화,계화(국립식량과학원),001,00122017001819,22.2,8.1,192.5,23.8,1,2,0343,002,2017,2017-04-30,64,8,R32068,동진1호,2,76
화성,화성(경기도 경기도농업기술원),001,00122017001828,26.2,9.2,219,23.8,1,2,0332,002,2017,2017-04-20,65,8,R32082,삼광,2,76
청원,청원(충청북도 농업기술원),001,00122017001851,24.9,13,309.4,23.8,1,2,2325,002,2017,2017-04-25,66,8,R32082,삼광,2,76
예산,예산(충청남도 농업기술원),001,00122017001859,25.2,11.2,266.6,23.8,1,2,0350,002,2017,2017-04-25,67,8,R32082,삼광,2,76
예산,예산(충청남도 농업기술원),001,00122017001855,28,10.5,249.9,23.8,1,2,0350,002,2017,2017-04-25,68,8,R32084,새누리,2,76
익산,익산(전북특별자치도 농업기술원),001,00122017001860,23.6,8,190.4,23.8,1,2,0326,002,2017,2017-04-30,69,8,R32084,새누리,2,76
계화,계화(국립식량과학원),001,00122017001821,20.6,8.2,196,23.8,1,2,0343,002,2017,2017-04-30,70,8,R32088,청호,2,76
예산,예산(충청남도 농업기술원),001,00122017001858,24.4,10.4,247.5,23.8,1,2,0350,002,2017,2017-04-25,71,8,R32091,호품,2,76
익산,익산(전북특별자치도 농업기술원),001,00122017001861,19.2,7.6,180.9,23.8,1,2,0326,002,2017,2017-04-30,72,8,R32091,호품,2,76
안동,안동(경상북도 농업기술원),001,00122017001876,25.3,15.3,363.3,23.8,1,2,0351,002,2017,2017-04-20,73,8,R32093,새일미,2,76
화성,화성(경기도 경기도농업기술원),001,00122017001827,22.6,11.8,281,23.8,1,2,0332,002,2017,2017-04-20,74,8,R33009,추청,2,76
청원,청원(충청북도 농업기술원),001,00122017001854,25.4,14.5,349.9,23.8,1,2,2325,002,2017,2017-04-25,75,8,R33009,추청,2,76
예산,예산(충청남도 농업기술원),001,00122017001857,24.9,11.6,276.1,23.8,1,2,0350,002,2017,2017-04-25,76,8,R33009,추청,2,76
나주,나주(전라남도 농업기술원),001,00122018001941,28.6,5,119,23.8,1,2,0352,002,2018,2018-05-10,1,3,R32006,일미벼,2,75
나주,나주(전라남도 농업기술원),001,00122018001944,25.3,5,119,23.8,1,2,0352,002,2018,2018-05-10,2,3,R32081,미품,2,75
나주,나주(전라남도 농업기술원),001,00122018001943,26,5,119,23.8,1,2,0352,002,2018,2018-05-10,3,3,R32084,새누리,2,75
나주,나주(전라남도 농업기술원),001,00122018001942,25.2,5,119,23.8,1,2,0352,002,2018,2018-05-10,4,3,R32090,호평,2,75
