areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,36.8,17.3,412,1,3,0352,002,2017,2017-05-10,1,3,R32006,일미벼,3,76
나주,나주(전라남도 농업기술원),001,00122017001869,37.4,16.8,400,1,3,0352,002,2017,2017-05-10,2,3,R32011,남평벼,3,76
나주,나주(전라남도 농업기술원),001,00122017001866,35.1,15.9,378,1,3,0352,002,2017,2017-05-10,3,3,R32081,미품,3,76
나주,나주(전라남도 농업기술원),001,00122017001867,36.8,16.3,388,1,3,0352,002,2017,2017-05-10,4,3,R32084,새누리,3,76
나주,나주(전라남도 농업기술원),001,00122017001868,38.4,17,405,1,3,0352,002,2017,2017-05-10,5,3,R32090,호평,3,76
나주,나주(전라남도 농업기술원),001,00122017001865,34.1,14.2,338,1,3,0352,002,2017,2017-05-10,6,3,R32092,현품,3,76
대구,대구(경상북도 농업기술원),001,00122017001875,41.6,17.1,407,1,3,0340,002,2017,2017-04-30,7,4,R22009,화영벼,3,76
대구,대구(경상북도 농업기술원),001,00122017001873,39.7,19.5,464.1,1,3,0340,002,2017,2017-04-30,8,4,R22083,삼덕,3,76
대구,대구(경상북도 농업기술원),001,00122017001874,37.4,18.2,433.2,1,3,0340,002,2017,2017-04-30,9,4,R32001,일품벼,3,76
대구,대구(경상북도 농업기술원),001,00122017001872,43.3,19.6,466.5,1,3,0340,002,2017,2017-04-30,10,4,R32015,새추청,3,76
대구,대구(경상북도 농업기술원),001,00122017001871,39.2,20.9,497.4,1,3,0340,002,2017,2017-04-30,11,4,R32093,새일미,3,76
진주,진주(경상남도 농업기술원),001,00122017001885,37.7,22.4,533.1,1,3,0335,002,2017,2017-05-10,12,6,R22009,화영벼,3,76
진주,진주(경상남도 농업기술원),001,00122017001883,34.4,24.1,573.5,1,3,0335,002,2017,2017-05-10,13,6,R32008,동안벼,3,76
진주,진주(경상남도 농업기술원),001,00122017001881,38.3,21.4,509.3,1,3,0335,002,2017,2017-05-10,14,6,R32068,동진1호,3,76
진주,진주(경상남도 농업기술원),001,00122017001882,34.3,21.7,516.4,1,3,0335,002,2017,2017-05-10,15,6,R32069,주남,3,76
진주,진주(경상남도 농업기술원),001,00122017001884,37.4,22.1,529.9,1,3,0335,002,2017,2017-05-10,16,6,R32093,새일미,3,76
계화,계화(국립식량과학원),001,00122017001822,33.8,12.9,307.9,1,3,0343,002,2017,2017-04-30,17,8,R11073,새계화,3,76
철원,철원(국립식량과학원),001,00122017001818,57.6,23,639.9,1,3,0331,002,2017,2017-04-20,18,8,R12004,진부벼,3,76
운봉,운봉(국립식량과학원),001,00122017001825,41.7,20.5,569,1,3,0330,002,2017,2017-04-20,19,8,R12004,진부벼,3,76
진부,진부(국립식량과학원),001,00122017001888,45.8,23.2,644.4,1,3,0336,002,2017,2017-04-20,20,8,R12004,진부벼,3,76
상주,상주(국립식량과학원),001,00122017001837,45.7,23.2,644.5,1,3,0329,002,2017,2017-04-25,21,8,R12005,상주벼,3,76
제천,제천(충청북도 농업기술원),001,00122017001848,47.4,18,500.4,1,3,0337,002,2017,2017-04-20,22,8,R12005,상주벼,3,76
제천,제천(충청북도 농업기술원),001,00122017001849,44.4,16.4,455.9,1,3,0337,002,2017,2017-04-20,23,8,R12016,상미,3,76
