areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,now,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870,82.3,18.9,450,1,5,0352,002,2017,1776123652874,2017-05-10,1,3,R32006,일미벼,5,76
나주,나주(전라남도 농업기술원),001,00122017001869,84.2,17.4,414,1,5,0352,002,2017,1776123652874,2017-05-10,2,3,R32011,남평벼,5,76
나주,나주(전라남도 농업기술원),001,00122017001866,76.1,18.8,447,1,5,0352,002,2017,1776123652874,2017-05-10,3,3,R32081,미품,5,76
나주,나주(전라남도 농업기술원),001,00122017001867,89.8,17,405,1,5,0352,002,2017,1776123652874,2017-05-10,4,3,R32084,새누리,5,76
나주,나주(전라남도 농업기술원),001,00122017001868,87.8,21.9,521,1,5,0352,002,2017,1776123652874,2017-05-10,5,3,R32090,호평,5,76
나주,나주(전라남도 농업기술원),001,00122017001865,71.6,19.7,469,1,5,0352,002,2017,1776123652874,2017-05-10,6,3,R32092,현품,5,76
대구,대구(경상북도 농업기술원),001,00122017001875,90.7,17.7,421.3,1,5,0340,002,2017,1776123652874,2017-04-30,7,4,R22009,화영벼,5,76
대구,대구(경상북도 농업기술원),001,00122017001873,81.6,17.4,414.1,1,5,0340,002,2017,1776123652874,2017-04-30,8,4,R22083,삼덕,5,76
대구,대구(경상북도 농업기술원),001,00122017001874,81.8,17.1,407,1,5,0340,002,2017,1776123652874,2017-04-30,9,4,R32001,일품벼,5,76
대구,대구(경상북도 농업기술원),001,00122017001872,84.6,19.1,454.6,1,5,0340,002,2017,1776123652874,2017-04-30,10,4,R32015,새추청,5,76
대구,대구(경상북도 농업기술원),001,00122017001871,85.4,17.4,414.1,1,5,0340,002,2017,1776123652874,2017-04-30,11,4,R32093,새일미,5,76
진주,진주(경상남도 농업기술원),001,00122017001885,80.8,17.6,419,1,5,0335,002,2017,1776123652874,2017-05-10,12,6,R22009,화영벼,5,76
진주,진주(경상남도 농업기술원),001,00122017001883,77.2,16.4,390,1,5,0335,002,2017,1776123652874,2017-05-10,13,6,R32008,동안벼,5,76
진주,진주(경상남도 농업기술원),001,00122017001881,80.9,13.9,331,1,5,0335,002,2017,1776123652874,2017-05-10,14,6,R32068,동진1호,5,76
진주,진주(경상남도 농업기술원),001,00122017001882,71.7,14.6,348,1,5,0335,002,2017,1776123652874,2017-05-10,15,6,R32069,주남,5,76
진주,진주(경상남도 농업기술원),001,00122017001884,76.5,14.3,340,1,5,0335,002,2017,1776123652874,2017-05-10,16,6,R32093,새일미,5,76
계화,계화(국립식량과학원),001,00122017001822,74.9,16.3,388,1,5,0343,002,2017,1776123652874,2017-04-30,17,8,R11073,새계화,5,76
철원,철원(국립식량과학원),001,00122017001818,104.3,15.4,426.7,1,5,0331,002,2017,1776123652874,2017-04-20,18,8,R12004,진부벼,5,76
운봉,운봉(국립식량과학원),001,00122017001825,95.8,19.1,529,1,5,0330,002,2017,1776123652874,2017-04-20,19,8,R12004,진부벼,5,76
진부,진부(국립식량과학원),001,00122017001888,89,18.4,511,1,5,0336,002,2017,1776123652874,2017-04-20,20,8,R12004,진부벼,5,76
상주,상주(국립식량과학원),001,00122017001837,88.5,19.9,554,1,5,0329,002,2017,1776123652874,2017-04-25,21,8,R12005,상주벼,5,76
제천,제천(충청북도 농업기술원),001,00122017001848,83.5,17.8,495,1,5,0337,002,2017,1776123652874,2017-04-20,22,8,R12005,상주벼,5,76
제천,제천(충청북도 농업기술원),001,00122017001849,82,16.6,462,1,5,0337,002,2017,1776123652874,2017-04-20,23,8,R12016,상미,5,76
운봉,운봉(국립식량과학원),001,00122017001824,81.7,19.9,552,1,5,0330,002,2017,1776123652874,2017-04-20,24,8,R12019,삼천벼,5,76
철원,철원(국립식량과학원),001,00122017001817,94.4,15.7,435.5,1,5,0331,002,2017,1776123652874,2017-04-20,25,8,R12072,태봉,5,76
철원,철원(국립식량과학원),001,00122017001816,93.8,18,500.9,1,5,0331,002,2017,1776123652874,2017-04-20,26,8,R12079,운광,5,76
운봉,운봉(국립식량과학원),001,00122017001823,86.9,18.3,507,1,5,0330,002,2017,1776123652874,2017-04-20,27,8,R12079,운광,5,76
상주,상주(국립식량과학원),001,00122017001836,93.7,18.8,523,1,5,0329,002,2017,1776123652874,2017-04-25,28,8,R12079,운광,5,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001841,94.5,13.4,341,1,5,0333,002,2017,1776123652874,2017-04-25,29,8,R12079,운광,5,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001844,85.7,18,455,1,5,0344,002,2017,1776123652874,2017-04-20,30,8,R12079,운광,5,76
제천,제천(충청북도 농업기술원),001,00122017001847,88.3,16.8,467,1,5,0337,002,2017,1776123652874,2017-04-20,31,8,R12079,운광,5,76
안동,안동(경상북도 농업기술원),001,00122017001879,94.7,14.9,355,1,5,0351,002,2017,1776123652874,2017-04-20,32,8,R12079,운광,5,76
철원,철원(국립식량과학원),001,00122017001815,87.1,19.2,532.4,1,5,0331,002,2017,1776123652874,2017-04-20,33,8,R12080,조운,5,76
상주,상주(국립식량과학원),001,00122017001835,86.3,20.4,566,1,5,0329,002,2017,1776123652874,2017-04-25,34,8,R12085,설레미,5,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001843,90.5,17,443,1,5,0344,002,2017,1776123652874,2017-04-20,35,8,R12086,오대1호,5,76
진부,진부(국립식량과학원),001,00122017001886,90,16.5,458,1,5,0336,002,2017,1776123652874,2017-04-20,36,8,R12092,한설,5,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001845,83,17.1,439,1,5,0344,002,2017,1776123652874,2017-04-20,37,8,R12093,오륜,5,76
철원,철원(국립식량과학원),001,00122017001814,101.2,17.4,484.2,1,5,0331,002,2017,1776123652874,2017-04-20,38,8,R13002,오대벼,5,76
운봉,운봉(국립식량과학원),001,00122017001826,86.9,20.1,559,1,5,0330,002,2017,1776123652874,2017-04-20,39,8,R13002,오대벼,5,76
화성,화성(경기도 경기도농업기술원),001,00122017001830,107,16,381,1,5,0332,002,2017,1776123652874,2017-04-20,40,8,R13002,오대벼,5,76
상주,상주(국립식량과학원),001,00122017001838,96.3,19.6,545,1,5,0329,002,2017,1776123652874,2017-04-25,41,8,R13002,오대벼,5,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001842,94.3,13.3,352,1,5,0333,002,2017,1776123652874,2017-04-25,42,8,R13002,오대벼,5,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001846,89.7,15.6,400,1,5,0344,002,2017,1776123652874,2017-04-20,43,8,R13002,오대벼,5,76
제천,제천(충청북도 농업기술원),001,00122017001850,90.7,18.1,503,1,5,0337,002,2017,1776123652874,2017-04-20,44,8,R13002,오대벼,5,76
안동,안동(경상북도 농업기술원),001,00122017001880,99.3,18,427,1,5,0351,002,2017,1776123652874,2017-04-20,45,8,R13002,오대벼,5,76
진부,진부(국립식량과학원),001,00122017001889,75,18.9,525,1,5,0336,002,2017,1776123652874,2017-04-20,46,8,R13002,오대벼,5,76
진부,진부(국립식량과학원),001,00122017001887,86,20.8,578,1,5,0336,002,2017,1776123652874,2017-04-20,47,8,R13003,진부올벼,5,76
영덕,영덕(국립식량과학원),001,00122017001833,81.1,19.2,457,1,5,0338,002,2017,1776123652874,2017-04-20,48,8,R22009,화영벼,5,76
영덕,영덕(국립식량과학원),001,00122017001832,82.3,18.7,445,1,5,0338,002,2017,1776123652874,2017-04-20,49,8,R22083,삼덕,5,76
영덕,영덕(국립식량과학원),001,00122017001834,80,20.8,495,1,5,0338,002,2017,1776123652874,2017-04-20,50,8,R23004,화성벼,5,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001839,77.9,14.3,367,1,5,0333,002,2017,1776123652874,2017-04-25,51,8,R32001,일품벼,5,76
청원,청원(충청북도 농업기술원),001,00122017001852,74.4,17.7,421,1,5,2325,002,2017,1776123652874,2017-04-25,52,8,R32001,일품벼,5,76
안동,안동(경상북도 농업기술원),001,00122017001877,81.8,16.7,396,1,5,0351,002,2017,1776123652874,2017-04-20,53,8,R32001,일품벼,5,76
화성,화성(경기도 경기도농업기술원),001,00122017001829,101.3,18.5,441,1,5,0332,002,2017,1776123652874,2017-04-20,54,8,R32003,대안벼,5,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001840,80.8,15.4,421,1,5,0333,002,2017,1776123652874,2017-04-25,55,8,R32003,대안벼,5,76
청원,청원(충청북도 농업기술원),001,00122017001853,78.4,19.2,457,1,5,2325,002,2017,1776123652874,2017-04-25,56,8,R32003,대안벼,5,76
익산,익산(전북특별자치도 농업기술원),001,00122017001864,82.8,15.8,376,1,5,0326,002,2017,1776123652874,2017-04-30,57,8,R32006,일미벼,5,76
계화,계화(국립식량과학원),001,00122017001820,81.7,15,357,1,5,0343,002,2017,1776123652874,2017-04-30,58,8,R32011,남평벼,5,76
영덕,영덕(국립식량과학원),001,00122017001831,79.2,19.5,464,1,5,0338,002,2017,1776123652874,2017-04-20,59,8,R32011,남평벼,5,76
예산,예산(충청남도 농업기술원),001,00122017001856,88.6,21.5,511.7,1,5,0350,002,2017,1776123652874,2017-04-25,60,8,R32011,남평벼,5,76
익산,익산(전북특별자치도 농업기술원),001,00122017001862,85.2,15.5,369,1,5,0326,002,2017,1776123652874,2017-04-30,61,8,R32011,남평벼,5,76
안동,안동(경상북도 농업기술원),001,00122017001878,88.7,24,570,1,5,0351,002,2017,1776123652874,2017-04-20,62,8,R32015,새추청,5,76
익산,익산(전북특별자치도 농업기술원),001,00122017001863,90,14,333,1,5,0326,002,2017,1776123652874,2017-04-30,63,8,R32016,신동진,5,76
계화,계화(국립식량과학원),001,00122017001819,86.9,14.6,348,1,5,0343,002,2017,1776123652874,2017-04-30,64,8,R32068,동진1호,5,76
화성,화성(경기도 경기도농업기술원),001,00122017001828,96.2,17,405,1,5,0332,002,2017,1776123652874,2017-04-20,65,8,R32082,삼광,5,76
청원,청원(충청북도 농업기술원),001,00122017001851,82.3,18.6,443,1,5,2325,002,2017,1776123652874,2017-04-25,66,8,R32082,삼광,5,76
예산,예산(충청남도 농업기술원),001,00122017001859,92.4,23.6,561.7,1,5,0350,002,2017,1776123652874,2017-04-25,67,8,R32082,삼광,5,76
예산,예산(충청남도 농업기술원),001,00122017001855,96.1,21.5,511.7,1,5,0350,002,2017,1776123652874,2017-04-25,68,8,R32084,새누리,5,76
익산,익산(전북특별자치도 농업기술원),001,00122017001860,88.3,15.3,364,1,5,0326,002,2017,1776123652874,2017-04-30,69,8,R32084,새누리,5,76
계화,계화(국립식량과학원),001,00122017001821,87.5,16.1,383,1,5,0343,002,2017,1776123652874,2017-04-30,70,8,R32088,청호,5,76
예산,예산(충청남도 농업기술원),001,00122017001858,80.9,22.2,528.4,1,5,0350,002,2017,1776123652874,2017-04-25,71,8,R32091,호품,5,76
익산,익산(전북특별자치도 농업기술원),001,00122017001861,77.7,15.7,374,1,5,0326,002,2017,1776123652874,2017-04-30,72,8,R32091,호품,5,76
안동,안동(경상북도 농업기술원),001,00122017001876,82,17,405,1,5,0351,002,2017,1776123652874,2017-04-20,73,8,R32093,새일미,5,76
