areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
나주,나주(전라남도 농업기술원),001,00122017001870, , , , ,103.5,17,405,1,6,0352,002,2017,2017-05-10,1,3,R32006,일미벼,6,76
나주,나주(전라남도 농업기술원),001,00122017001869, , , , ,103.8,16.8,400,1,6,0352,002,2017,2017-05-10,2,3,R32011,남평벼,6,76
나주,나주(전라남도 농업기술원),001,00122017001866, , , , ,96.1,18.8,447,1,6,0352,002,2017,2017-05-10,3,3,R32081,미품,6,76
나주,나주(전라남도 농업기술원),001,00122017001867, , , , ,117.8,16,381,1,6,0352,002,2017,2017-05-10,4,3,R32084,새누리,6,76
나주,나주(전라남도 농업기술원),001,00122017001868, , , , ,116.1,19.1,455,1,6,0352,002,2017,2017-05-10,5,3,R32090,호평,6,76
나주,나주(전라남도 농업기술원),001,00122017001865, , , , ,87.9,18.6,443,1,6,0352,002,2017,2017-05-10,6,3,R32092,현품,6,76
대구,대구(경상북도 농업기술원),001,00122017001875, , , , ,10.95,17,404.6,1,6,0340,002,2017,2017-04-30,7,4,R22009,화영벼,6,76
대구,대구(경상북도 농업기술원),001,00122017001873, , , , ,99.6,16.1,383.2,1,6,0340,002,2017,2017-04-30,8,4,R22083,삼덕,6,76
대구,대구(경상북도 농업기술원),001,00122017001874, , , , ,94.6,16.1,383.2,1,6,0340,002,2017,2017-04-30,9,4,R32001,일품벼,6,76
대구,대구(경상북도 농업기술원),001,00122017001872, , , , ,98.3,18.3,435.5,1,6,0340,002,2017,2017-04-30,10,4,R32015,새추청,6,76
대구,대구(경상북도 농업기술원),001,00122017001871, , , , ,97.7,16.2,385.6,1,6,0340,002,2017,2017-04-30,11,4,R32093,새일미,6,76
진주,진주(경상남도 농업기술원),001,00122017001885,16.1,383,81.6,31253,102.7,17.4,414.1,1,6,0335,002,2017,2017-05-10,12,6,R22009,화영벼,6,76
진주,진주(경상남도 농업기술원),001,00122017001883,15,357,75.7,27025,102.6,16.6,392.7,1,6,0335,002,2017,2017-05-10,13,6,R32008,동안벼,6,76
진주,진주(경상남도 농업기술원),001,00122017001881,14,333,93.3,31069,108.4,13.8,328.4,1,6,0335,002,2017,2017-05-10,14,6,R32068,동진1호,6,76
진주,진주(경상남도 농업기술원),001,00122017001882,13.2,314,91.9,28857,89.6,15.4,366.5,1,6,0335,002,2017,2017-05-10,15,6,R32069,주남,6,76
진주,진주(경상남도 농업기술원),001,00122017001884,12.7,302,92.6,27965,102.2,15.1,359.3,1,6,0335,002,2017,2017-05-10,16,6,R32093,새일미,6,76
계화,계화(국립식량과학원),001,00122017001822, , , , ,88.7,14.3,341,1,6,0343,002,2017,2017-04-30,17,8,R11073,새계화,6,76
철원,철원(국립식량과학원),001,00122017001818,15.2,423,78.8,33299,,,,1,6,0331,002,2017,2017-04-20,18,8,R12004,진부벼,6,76
운봉,운봉(국립식량과학원),001,00122017001825,18.3,507,72.7,36859, , , ,1,6,0330,002,2017,2017-04-20,19,8,R12004,진부벼,6,76
진부,진부(국립식량과학원),001,00122017001888,18.5,514.3,68.7,35332, , , ,1,6,0336,002,2017,2017-04-20,20,8,R12004,진부벼,6,76
상주,상주(국립식량과학원),001,00122017001837,16,444.8,98.4,43783, , , ,1,6,0329,002,2017,2017-04-25,21,8,R12005,상주벼,6,76
제천,제천(충청북도 농업기술원),001,00122017001848,16.7,464.3,85.3,39601, , , ,1,6,0337,002,2017,2017-04-20,22,8,R12005,상주벼,6,76
제천,제천(충청북도 농업기술원),001,00122017001849,16,444.8,80.3,35717, , , ,1,6,0337,002,2017,2017-04-20,23,8,R12016,상미,6,76
운봉,운봉(국립식량과학원),001,00122017001824,18.7,519,79.9,41468, , , ,1,6,0330,002,2017,2017-04-20,24,8,R12019,삼천벼,6,76
철원,철원(국립식량과학원),001,00122017001817,15.6,434,78,33827,,,,1,6,0331,002,2017,2017-04-20,25,8,R12072,태봉,6,76
철원,철원(국립식량과학원),001,00122017001816,17.2,478,87.2,41696,,,,1,6,0331,002,2017,2017-04-20,26,8,R12079,운광,6,76
운봉,운봉(국립식량과학원),001,00122017001823,17.5,487,120.5,58684, , , ,1,6,0330,002,2017,2017-04-20,27,8,R12079,운광,6,76
상주,상주(국립식량과학원),001,00122017001836,16.1,447.6,108.3,48552, , , ,1,6,0329,002,2017,2017-04-25,28,8,R12079,운광,6,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001841,12.8,324.4,10.35,33578, , , ,1,6,0333,002,2017,2017-04-25,29,8,R12079,운광,6,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001844,15.7,397.2,121.6,48301, , , ,1,6,0344,002,2017,2017-04-20,30,8,R12079,운광,6,76
제천,제천(충청북도 농업기술원),001,00122017001847,15.4,428.1,94.5,40457, , , ,1,6,0337,002,2017,2017-04-20,31,8,R12079,운광,6,76
안동,안동(경상북도 농업기술원),001,00122017001879,14.9,353.4,103.7,36649, , , ,1,6,0351,002,2017,2017-04-20,32,8,R12079,운광,6,76
철원,철원(국립식량과학원),001,00122017001815,18.9,526,70.1,36846,,,,1,6,0331,002,2017,2017-04-20,33,8,R12080,조운,6,76
상주,상주(국립식량과학원),001,00122017001835,17.6,489.3,84.8,41493, , , ,1,6,0329,002,2017,2017-04-25,34,8,R12085,설레미,6,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001843,15.2,395.2,101.1,39955, , , ,1,6,0344,002,2017,2017-04-20,35,8,R12086,오대1호,6,76
진부,진부(국립식량과학원),001,00122017001886,16.5,458.7,78.7,36100, , , ,1,6,0336,002,2017,2017-04-20,36,8,R12092,한설,6,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001845,14.7,376.3,101.5,38196, , , ,1,6,0344,002,2017,2017-04-20,37,8,R12093,오륜,6,76
철원,철원(국립식량과학원),001,00122017001814,15.9,442,75.2,33187,,,,1,6,0331,002,2017,2017-04-20,38,8,R13002,오대벼,6,76
운봉,운봉(국립식량과학원),001,00122017001826,19,527,75.2,39630, , , ,1,6,0330,002,2017,2017-04-20,39,8,R13002,오대벼,6,76
화성,화성(경기도 경기도농업기술원),001,00122017001830,14.5,345.2,79.5,27446, , , ,1,6,0332,002,2017,2017-04-20,40,8,R13002,오대벼,6,76
상주,상주(국립식량과학원),001,00122017001838,16.7,464.3,84.4,39128, , , ,1,6,0329,002,2017,2017-04-25,41,8,R13002,오대벼,6,76
춘천,춘천(강원특별자치도 농업기술원),001,00122017001842,12.9,340.4,80.5,27401, , , ,1,6,0333,002,2017,2017-04-25,42,8,R13002,오대벼,6,76
강릉,강릉(강원특별자치도 농업기술원),001,00122017001846,14.8,378.9,91.9,34819, , , ,1,6,0344,002,2017,2017-04-20,43,8,R13002,오대벼,6,76
제천,제천(충청북도 농업기술원),001,00122017001850,15.5,430.9,76.2,32835, , , ,1,6,0337,002,2017,2017-04-20,44,8,R13002,오대벼,6,76
안동,안동(경상북도 농업기술원),001,00122017001880,18.2,434,65.1,28256, , , ,1,6,0351,002,2017,2017-04-20,45,8,R13002,오대벼,6,76
