exprAreaCode,areaNm,exprYear,lat,lon,sim_TWSO,sim_TAGP,sim_LAIMAX
352,나주,2017,35.01,126.72,6282.125902016183,13141.324853264145,4.268487866681089
352,나주,2018,35.01,126.72,5704.857160979557,12524.934735141916,3.996912962956893
352,나주,2021,35.01,126.72,5787.048166971579,11751.455284781816,3.526440137286067
352,나주,2023,35.01,126.72,5959.320105857998,11300.507248007338,3.2629174440856947
352,나주,2024,35.01,126.72,5873.025299679761,12187.208389938249,3.877001365386575
340,대구,2017,35.87,128.6,5519.8216945347085,12055.080338160617,4.052181571315007
340,대구,2018,35.87,128.6,5029.80882828316,10769.129657949754,3.3674241995818246
340,대구,2021,35.87,128.6,5716.959962771638,11478.25970447981,3.3743316513935477
340,대구,2023,35.87,128.6,5788.626955608241,11328.925334574658,3.351098984986334
340,대구,2024,35.87,128.6,5391.1228458804235,11340.059706873695,3.622453393635306
351,안동,2017,36.57,128.73,6743.641119009986,13971.842217426469,4.577968268295356
351,안동,2018,36.57,128.73,5899.261845049307,12750.064793548394,4.05540233013053
351,안동,2021,36.57,128.73,6411.292533329327,13429.077475371989,4.19527775001608
351,안동,2023,36.57,128.73,6570.676010654182,12787.3252994928,3.8014665593394863
351,안동,2024,36.57,128.73,5996.832110186766,13007.384248346349,4.287736269174536
327,밀양,2017,35.49,128.75,5804.89981164861,12661.03744868263,4.304461738709285
327,밀양,2018,35.49,128.75,5488.269537355724,11686.831604712806,3.632590131692158
327,밀양,2021,35.49,128.75,5652.722413920234,11353.067428528477,3.323894631338436
327,밀양,2023,35.49,128.75,5689.148001017963,11083.362171690762,3.2958660990868935
327,밀양,2024,35.49,128.75,5743.079287594243,11812.53068480465,3.7302364478444074
329,상주,2017,36.41,128.16,5828.355724667621,12534.250736096834,4.186645050722932
329,상주,2018,36.41,128.16,5186.446461271786,11452.34612020386,3.708420764302741
329,상주,2021,36.41,128.16,5881.531805384748,11921.98140523483,3.532097523202976
329,상주,2023,36.41,128.16,5892.817205747534,11323.362828148493,3.2989129645698614
329,상주,2024,36.41,128.16,5369.628808514124,11650.375959150086,3.8484857728977233
330,운봉,2017,35.73,127.73,4900.212257543569,14513.834932982129,5.802483715410856
330,운봉,2018,35.73,127.73,4588.449278991912,14394.897392317802,5.905047272436151
330,운봉,2021,35.73,127.73,4486.830498880664,14425.312522508051,5.880497750031476
330,운봉,2023,35.73,127.73,5409.520436880379,14715.05147599808,5.58098378993576
330,운봉,2024,35.73,127.73,6391.337205334301,16120.525712073348,5.7927491240659705
339,대전,2017,36.35,127.38,6088.433350576837,12837.967273141498,4.2190668561637406
339,대전,2018,36.35,127.38,5255.326793270672,11902.751102597129,3.916105508781265
339,대전,2021,36.35,127.38,5703.690966159389,11919.362426659933,3.655752993469354
339,대전,2023,36.35,127.38,5922.550503665848,11435.143502479721,3.3911343567653884
339,대전,2024,36.35,127.38,5565.311898814799,12084.536656796332,4.027342168847658
