day,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,E0,ES0,ET0
2015-01-01,11300000.0,-6.2,-2.7,2.05441090619241,13.746964597466928,0.0,0.3205636918449954,0.3052144850468037,0.18580464009117198
2015-01-02,10720000.0,-7.3,-0.1,1.9424636301757132,10.361853132251362,0.0,0.279397098369664,0.2643453814874645,0.20660606971812778
2015-01-03,10650000.0,-5.9,2.0,3.4116047789895365,5.516145384962236,0.0,0.11469752929223624,0.09859173954180994,0.12814811647353602
2015-01-04,8970000.0,-1.6,8.8,5.768441083244637,4.687077413375399,0.0,0.10810734485041107,0.09140384461598658,0.14250718290209016
2015-01-05,8189999.999999999,-0.7,8.3,6.381844794210338,5.318605723862123,1.04,0.09833329229536569,0.0829789574542092,0.12021955301902065
2015-01-06,10640000.0,-5.6,0.1,1.6558592646602284,13.755943672971481,0.0,0.4370080583542184,0.4214461260706077,0.26205008118430745
2015-01-07,11660000.0,-6.6,-0.1,1.5757385484354693,8.308637866877465,0.0,0.2651519323840062,0.2485298471365974,0.22346721775227946
2015-01-08,11570000.0,-5.6,1.5,2.8599439504485678,9.511833984487241,0.0,0.22755778968553653,0.21013278620326611,0.18146239595762004
2015-01-09,8620000.0,-3.0,2.8,3.7930014970288224,9.90990633185565,0.0,0.22086895294387748,0.20683302074948462,0.17053066194057515
2015-01-10,11320000.0,-2.7,5.0,4.1037292606043865,7.72799098424986,0.0,0.1914599570638785,0.17213405562472345,0.18055555166668205
2015-01-11,11120000.0,-4.8,3.3,2.978317110339186,10.780876655797055,0.0,0.2895226944595676,0.271870878619369,0.21801159322528937
2015-01-12,11970000.0,-4.3,3.7,2.9891124978173256,2.0562082905420818,0.0,0.08287487662345902,0.06353495835953915,0.12275798559324418
2015-01-13,10760000.0,-2.8,6.5,3.6768036732314835,1.837717453264684,0.0,0.08450003976856338,0.06565367854278556,0.1271018238459481
2015-01-14,4179999.9999999995,-1.5,5.7,4.843216154633988,2.574001644637831,0.0,0.08430118089114458,0.07691370089571442,0.11018820851543128
2015-01-15,7090000.0,-2.4,8.0,5.593004877367407,4.7529239670754375,0.0,0.10813482669756216,0.0952904526666858,0.133817520034817
2015-01-16,4800000.0,-4.3,4.4,4.194470898314254,13.636222666244139,0.0,0.25739446613937017,0.24953324381971403,0.17039469722740574
2015-01-17,12480000.0,-4.9,1.1,2.5109356167042813,10.864681360506195,0.0,0.303597399883257,0.2846852360897108,0.21414093381466306
2015-01-18,11780000.0,-3.6,4.3,4.181210679393263,8.233812237672877,0.27,0.18311898604491644,0.1636032638983582,0.16103788807933211
2015-01-19,9880000.0,-3.8,5.0,3.946281788467599,9.320280373723495,0.0,0.22918362377098833,0.21265962193265237,0.19085882261257608
2015-01-20,11600000.0,-1.9,5.7,4.411765559417658,3.86399549212493,0.0,0.1256369044513604,0.10528256510411638,0.1499788667720093
2015-01-21,6450000.0,1.2,6.8,6.688529909591407,2.888269287297101,1.09,0.07449766118283192,0.06232411693648071,0.09027274265947216
2015-01-22,4570000.0,-3.1,5.9,5.63598416057571,3.828079190106728,0.010000000000000002,0.07043561460298133,0.06256128393733475,0.08788874354987355
2015-01-23,11010000.0,-1.7,6.1,5.0931032833608185,4.54341220530259,0.0,0.1242371413684021,0.1047090674282912,0.1376928384400277
2015-01-24,9340000.0,-1.2,6.5,5.246511762131188,5.513152359794052,0.0,0.1425689210551873,0.12573699597056107,0.14815167847872507
2015-01-25,6420000.0,0.6,8.1,7.334683222406409,4.393760946893415,0.45999999999999996,0.07805598680770183,0.0657976110039864,0.08760976457754244
2015-01-26,3290000.0,-1.7,10.0,7.126153915787945,8.003349299722744,0.0,0.10323441540706582,0.09699388357898389,0.11885589282041047
2015-01-27,12540000.0,-5.6,2.0,2.4206559802860728,9.580673563355463,0.0,0.2964016801327909,0.277320372076047,0.2239468275747873
2015-01-28,12790000.0,-4.7,3.6,3.6076820337205304,3.570679025642945,0.0,0.12240896193515309,0.10194539719629707,0.1398271619813994
2015-01-29,6410000.0,-2.1,4.7,5.31654229494858,4.378795821052497,0.16000000000000003,0.09455266937500847,0.08354847858647368,0.10102965931660708
2015-01-30,13080000.0,-5.4,2.0,2.4899686133655647,11.42138404178833,0.0,0.34536345458158124,0.32537881245343026,0.23195474330324384
2015-01-31,14280000.0,-6.4,1.4,2.1831948704308415,5.68974084471688,0.0,0.20299460150710633,0.1818876369178058,0.19489642375482152
2015-02-01,14190000.0,-4.3,3.8,2.721259536842897,4.809791445270924,0.0,0.1947912662156208,0.17181981437540322,0.203546455030056
2015-02-02,11930000.0,-3.0,5.9,3.25567421838685,2.166950221764872,0.0,0.12615756301379905,0.10556386034101983,0.15835242152212775
2015-02-03,12380000.0,-3.0,7.6,4.193143200607466,3.5646929753065772,0.0,0.15421676370300755,0.13218043861731335,0.18085398656466367
2015-02-04,13900000.0,-1.8,5.7,4.110245742077888,6.925860239176677,0.0,0.2347162489018347,0.21028215766038127,0.20858758297301688
2015-02-05,12320000.0,-2.3,5.1,4.0764599742538525,8.072188878590966,0.0,0.24545841639251562,0.22423046151269813,0.20175037897136178
2015-02-06,14580000.0,-2.3,5.7,4.234475558031461,6.15665277095351,0.0,0.21028448396005514,0.18488569959228301,0.19304106983560212
2015-02-07,8540000.0,-7.7,4.8,3.604198397048093,10.765911529956137,0.0,0.24727389601436206,0.23409237295105334,0.1829416423751845
2015-02-08,15750000.0,-9.7,-4.0,1.0995120907772862,15.818138013849927,0.0,0.4611560790786823,0.4420157720496324,0.22152865761697998
2015-02-09,14680000.0,-8.5,0.4,2.383431438940749,13.151352588998407,0.0,0.32881870707608596,0.30852097976660536,0.19339604751103312
2015-02-10,13570000.0,1.0,7.5,5.241656524974562,10.703058001424285,0.0,0.3343397369661629,0.30851449746189774,0.23727812006605964
2015-02-11,10410000.0,-2.8,8.5,4.737164494477745,8.410400722595705,0.0,0.2581762472557011,0.23928439299146817,0.22680070925344836
2015-02-12,15850000.0,-3.5,2.8,2.0382741584931443,13.465620231657677,0.0,0.5302631708779696,0.5047042375058352,0.3132541267574508
2015-02-13,16079999.999999998,-3.6,3.7,2.8514490540241533,9.284364071705292,0.0,0.344316564928542,0.3179814701576939,0.25250229323215445
2015-02-14,15120000.0,0.1,8.6,5.264348376044592,5.983057311198866,0.0,0.24217603452272501,0.21330584104107744,0.22124083397810446
2015-02-15,9170000.0,3.4,10.2,7.192220614930944,7.584325776177051,0.8400000000000001,0.23031589308954578,0.21140441737114046,0.19731444140036375
2015-02-16,2000000.0,1.5,4.9,7.349938053211951,5.983057311198866,0.78,0.03455498411429152,0.03088118796100305,0.04346361033502123
2015-02-17,8240000.0,0.2,4.7,4.986855309807179,10.050578514760275,0.0,0.25583898877600186,0.24109364612834305,0.17826635468819757
2015-02-18,7530000.0,-2.2,4.4,4.743084087474441,6.138694619944409,0.0,0.16080449472820238,0.14797282412246607,0.14110531799713394
2015-02-19,14520000.0,-1.4,7.4,4.68125394606022,3.3671533142064654,0.0,0.1819920467913521,0.155503777270466,0.18567056788363723
2015-02-20,16399999.999999998,0.8,9.7,5.634259395255925,4.725986740561785,0.0,0.23857311223752942,0.20633270411199134,0.226038248500952
2015-02-21,3170000.0,3.6,8.3,9.340309627880762,5.100114886584726,0.65,0.041508874728348424,0.03513850905453166,0.03722808437381547
2015-02-22,9210000.0,-0.9,7.8,5.05537734829247,11.993051848911383,0.0,0.3416521184230793,0.32458888845166295,0.23348095506441982
2015-02-23,15860000.0,-0.8,7.4,4.3155010715683595,7.698060732568026,0.0,0.32321841497249826,0.2939850372949379,0.2592449443466664
2015-02-24,16960000.0,-1.0,8.1,4.453601059039776,5.219835893312067,0.0,0.26529511920971244,0.2337665360789813,0.24262000163510358
2015-02-25,15750000.0,1.4,12.3,5.714083714889749,5.911224707162461,0.020000000000000004,0.31283344673510977,0.28030323626500564,0.2959216730258748
2015-02-26,12740000.0,-3.6,5.6,2.8345265331507252,15.444009867826987,0.0,0.574607845146613,0.5529785111453989,0.32131161280655995
2015-02-27,18060000.0,-2.6,2.7,2.754900687595593,5.186912616462049,0.0,0.2690785675748807,0.2395007185971744,0.23042967739212644
2015-02-28,9890000.0,0.3,6.3,5.202957592501233,5.240787069489351,0.17,0.1986332232282344,0.18040383449991973,0.1769267155835046
2015-03-01,11230000.0,-1.9,5.9,4.207768390705494,10.565378843687842,0.0,0.34129573873929614,0.3215195724412783,0.23367909635350648
2015-03-02,18730000.0,0.4,9.3,4.207768390705494,4.369816745547945,0.0,0.29701281384371125,0.2606613554739199,0.2826048874190556
2015-03-03,8690000.0,-3.3,8.0,4.48873215936358,11.256767657538237,0.11000000000000001,0.33457307000930087,0.31907743371713854,0.2443897058077443
2015-03-04,19240000.0,-4.4,2.8,2.496661038689595,12.771238392639098,0.0,0.4901264922055469,0.45964547444240356,0.27896416848144806
2015-03-05,19040000.0,-1.6,5.7,3.506727921874204,3.238453231974574,0.0,0.2403864319395951,0.20679652186575087,0.2263092360195207
2015-03-06,17900000.0,0.2,9.4,4.581225053965044,3.1965508796200046,0.0,0.25392607202520356,0.2192416458003828,0.24813311201691285
2015-03-07,19750000.0,-1.0,10.4,4.21443114272276,4.037590951879575,0.0,0.2997211313865275,0.26157597392583093,0.2899254770973287
2015-03-08,19080000.0,2.1,13.6,5.728067864269784,4.456614475425268,0.0,0.3356811301409598,0.29510011778752177,0.32450782801471034
2015-03-09,18680000.0,-5.4,10.2,2.19362253189609,18.329286129955904,0.0,1.311150313522332,1.2777818492263893,0.48805522840444693
2015-03-10,21120000.0,-3.8,1.2,2.1698527636583798,16.4047709468139,0.0,0.6374853989907541,0.6046883085782253,0.29475239731748626
2015-03-11,19260000.0,-1.6,7.2,3.398361882007341,14.707725676453839,0.0,0.6311857841467128,0.596294014917562,0.35268578794506034
2015-03-12,20940000.0,-0.8,7.8,3.601877631717705,9.23048961867799,0.06999999999999999,0.48142274360413495,0.44256143024105077,0.3389293948394492
2015-03-13,16360000.0,-2.1,11.1,4.233136638887693,8.003349299722744,0.04000000000000001,0.4574186312019006,0.4260264735060565,0.3430156140216222
2015-03-14,21040000.0,-0.2,10.7,4.227784715040654,3.1875718041154535,0.0,0.3037314735428065,0.2623693889719943,0.29345800312251924
2015-03-15,20740000.0,0.8,14.0,4.85680838006267,5.279696396675738,0.0,0.4437071153014965,0.40016760190794837,0.3830518426564178
2015-03-16,21150000.0,4.1,18.6,6.42626504140032,3.5916302018202293,0.0,0.45605106120525657,0.4066435672641574,0.41126768597145025
2015-03-17,15300000.0,8.1,19.9,8.178038104449271,5.037261358052872,0.15000000000000002,0.43060423410119064,0.39255955453493185,0.44199943073100806
2015-03-18,1620000.0,4.3,8.7,9.571852142492975,7.829753839968101,3.7600000000000002,0.018556724025310382,0.015245849062717021,0.0356405211880264
2015-03-19,20550000.0,6.0,18.4,9.845071291828404,3.2594044081518585,0.0,0.3538073051992967,0.3047924281058803,0.322278245103451
2015-03-20,17870000.0,4.5,19.7,8.202036924322556,3.4958533964383562,0.0,0.4179675172948726,0.3754473861085409,0.3707794602791531
2015-03-21,22120000.0,2.7,18.5,6.797683925209208,6.925860239176677,0.0,0.6731099968138129,0.6224080124078768,0.47496651186063377
2015-03-22,22660000.0,-0.1,15.7,3.594923292272223,11.807484288484005,0.0,1.1325827587614175,1.0844567929696534,0.5928895789274785
2015-03-23,22780000.0,-1.2,9.6,3.506727921874204,9.389119952591717,0.0,0.5514580262302426,0.5081768052003318,0.391080671683602
2015-03-24,23210000.0,-0.9,11.2,4.068698324016182,4.510488928452571,0.0,0.3925780628189772,0.34709531980438457,0.34538256183882143
2015-03-25,23330000.0,-1.1,13.0,4.526949393894661,4.315942292520642,0.0,0.4407735107042517,0.3938900308398525,0.35811316355263456
2015-03-26,23400000.0,0.2,15.1,5.278981872244652,6.030945713889802,0.0,0.5707340462599009,0.5212513852586951,0.4168242455776485
2015-03-27,22970000.0,0.6,16.8,5.88032059339331,6.4918715897900645,0.0,0.6401585851963258,0.5901159556809825,0.44546316097648664
2015-03-28,22900000.0,4.0,17.9,5.433986240560487,6.2494365511672,0.0,0.6571320538981831,0.6041713229496883,0.5258016648983078
