day,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,E0,ES0,ET0
2015-01-01,10960000.0,-11.8,-8.1,1.8596885481131957,12.29534739089792,0.0,0.1467466150585875,0.13431214635745983,0.08762586476248534
2015-01-02,8500000.0,-12.8,-5.0,1.9471570628588903,7.982398123545459,0.020000000000000004,0.11528352162145965,0.10512253413745684,0.09803779564961344
2015-01-03,10810000.0,-10.5,-0.6,2.613780211713491,4.830742621448209,0.0,0.08825083701267272,0.07314506204603552,0.10694249515841137
2015-01-04,10130000.0,-5.0,4.2,4.692975760045153,4.1543189334387325,0.0,0.07175452335027141,0.0543067786433221,0.09637696685010752
2015-01-05,8600000.0,-3.6,5.9,4.881055778502896,5.26473127083482,1.11,0.1049837993403137,0.0893200382558045,0.12837726294404256
2015-01-06,10930000.0,-9.7,-4.2,1.425292179442121,10.969437241392619,0.0,0.25623763801137583,0.24190073949806773,0.17409171542972596
2015-01-07,11960000.0,-11.2,-4.3,1.5081569901481058,7.89859341883632,0.0,0.17137546810375023,0.15626374826631872,0.1446467126326228
2015-01-08,11780000.0,-10.0,-2.5,2.469157559558453,6.770222930431132,0.0,0.11360616714767617,0.09765202046258341,0.10808484708733346
2015-01-09,7630000.0,-6.7,-2.2,3.257795813573065,9.158657014641586,0.0,0.1214905583793651,0.11030686052590008,0.09331280806540035
2015-01-10,11040000.0,-6.6,-0.3,3.286557788745447,7.0395951955676495,0.06,0.12078723631678348,0.10391216413586386,0.11266581127836575
2015-01-11,11400000.0,-8.8,-1.8,2.292589907298415,10.110439018123946,0.0,0.20000836130192634,0.1839018317771322,0.14872219864905495
2015-01-12,12460000.0,-7.7,-0.7,1.7323247727304456,2.8643250859516334,0.0,0.10152042367028784,0.08306219909810679,0.1367439675561118
2015-01-13,11270000.0,-5.5,3.3,2.673707362004381,1.478554433082661,0.0,0.0726000782966101,0.053692354632074224,0.1113248862045079
2015-01-14,3770000.0,-3.6,1.7,3.8590908480409056,2.8613320607834494,0.010000000000000002,0.07843625809454015,0.07207523832075154,0.09796598118910793
2015-01-15,9110000.0,-5.0,3.1,4.07387129976625,4.067521203561411,0.0,0.0925383951336612,0.07716733674129667,0.11146253232161177
2015-01-16,6650000.0,-9.2,-0.4,3.2450846406612928,12.852050072180054,0.08000000000000002,0.15093098031658328,0.1413289533831982,0.10302904934810889
2015-01-17,12760000.0,-9.5,-3.6,1.924454710558682,8.084160979263702,0.0,0.17434595413375817,0.15729840079978838,0.14052322160722097
2015-01-18,12880000.0,-7.7,1.2,2.940321239431226,8.497198452473025,0.25,0.17929364308834725,0.15944354052194734,0.15399891626956946
2015-01-19,10070000.0,-7.3,-0.3,3.0787529616956344,8.50917055314576,0.0,0.15436702048024364,0.1391965271448256,0.1260353703312606
2015-01-20,12130000.0,-5.5,2.9,2.880804048940591,3.0917949987335804,0.0,0.11394707055916324,0.09375121883288083,0.14589316613001116
2015-01-21,4830000.0,-3.2,2.8,5.278981872244652,2.4632597134150407,0.6000000000000001,0.04903212938428897,0.04065132109977735,0.0626273654529863
2015-01-22,4200000.0,-4.5,0.2,4.362023009954421,4.73795884123452,0.0,0.06645516039931955,0.059689612587800825,0.06869014697298828
2015-01-23,9440000.0,-5.7,1.4,3.75551679342025,4.1483328831023645,0.0,0.09567662996547771,0.08047025583673088,0.10522902734067549
2015-01-24,11020000.0,-3.8,1.9,4.164027970148122,3.9268490206567837,0.0,0.09969889712667322,0.08110514701867573,0.10800170030988929
2015-01-25,6420000.0,-1.7,4.0,6.045312285922133,4.121395656588713,0.42000000000000004,0.060942901297359596,0.049249721511016684,0.06510530532220121
2015-01-26,3900000.0,-6.4,6.0,5.719324227642915,5.965099160189765,0.010000000000000002,0.04727055036337789,0.040503438083958565,0.06828709325816698
2015-01-27,13850000.0,-9.1,-2.5,1.9092313372751275,7.279037209022332,0.0,0.18843007285765484,0.16928977508417423,0.15680808306623142
2015-01-28,12530000.0,-8.0,-1.3,2.3698040443163704,3.774204737079425,0.0,0.11797913816444536,0.09976973745951787,0.1271188456747722
2015-01-29,5370000.0,-6.8,-0.4,3.9236959780109064,4.046570027384125,0.27999999999999997,0.06291240547377425,0.05475490271821826,0.06691831211345094
2015-01-30,12010000.0,-10.4,-3.1,2.003583333398076,11.029297744756288,0.0,0.2249989902727993,0.20909966537735603,0.14640688871315038
2015-01-31,14660000.0,-10.5,-3.7,1.5908073850725475,4.8906031248118795,0.0,0.1472481617472489,0.12815173218952286,0.1409344436448512
2015-02-01,14530000.0,-8.5,0.2,1.9112108869007356,3.178592728610903,0.0,0.13357878074877913,0.11200853368689354,0.15347840773767785
2015-02-02,12950000.0,-5.0,2.0,2.1772560506039365,1.7868360254055644,0.0,0.11342512702225709,0.09202907484723483,0.1424901263721276
2015-02-03,12000000.0,-6.2,2.7,3.041615643873906,3.756246586070324,0.0,0.13788468352344077,0.11824926961943302,0.15190434298601113
2015-02-04,12830000.0,-7.0,-0.3,3.1162926617377713,7.14135805128589,0.020000000000000004,0.16033904062986865,0.1408895291756068,0.12963177835384215
2015-02-05,11890000.0,-6.6,-1.3,2.7963136988774986,8.078174928927332,0.0,0.18798399330284635,0.17018372222020892,0.1417736874457433
2015-02-06,14860000.0,-5.3,1.4,3.317701295423453,4.387774896557047,0.0,0.14899688551965898,0.1248707962328349,0.14415596664316904
